amount,description,date,type,id,note,pin,timestamp
78023.21,Salary,29-07-2022 9:27:48 AM,Incoming,1659067085414000,Salary,False,2022-07-29 03:57:48.998000+00:00
-75.0,Medicine for TTM muthi,29-07-2022 8:53:46 PM,Outgoing,1659075241107000,Medicine,False,2022-07-29 15:23:46.743000+00:00
-40.0,Food for Maggi ❤️,29-07-2022 8:53:28 PM,Outgoing,1659108221721000,Food,False,2022-07-29 15:23:28.301000+00:00
-200.0,Petroleum,30-07-2022 6:33:32 PM,Outgoing,1659186229185000,Petroleum,False,2022-07-30 13:03:32.578000+00:00
-70.0,"Cash
80 - Tea glass
50 - pani poori",31-07-2022 4:51:21 PM,Outgoing,1659186239964000,Cash,False,2022-07-31 11:21:21.294000+00:00
-120.0,Temper,30-07-2022 7:18:53 PM,Outgoing,1659188943067000,Temper,False,2022-07-30 13:48:53.559000+00:00
-30.0,Food,30-07-2022 7:50:52 PM,Outgoing,1659190857300000,Food,False,2022-07-30 14:20:52.732000+00:00
-80.0,Paper glass,31-07-2022 4:29:20 PM,Outgoing,1659265182595000,TeaGlass,False,2022-07-31 10:59:20.070000+00:00
-40.0,Tea,31-07-2022 4:44:59 PM,Outgoing,1659266106656000,Tea,False,2022-07-31 11:14:59.173000+00:00
-130.0,"Cash
70 beda",02-08-2022 3:17:42 PM,Outgoing,1659266116039000,Cash,False,2022-08-02 09:47:42.671000+00:00
-50.0,Pani Poori,30-07-2022 6:30:00 PM,Outgoing,1659266576980000,Food,False,2022-07-30 13:00:00+00:00
-70.0,Food beda,02-08-2022 3:18:05 PM,Outgoing,1659433694689000,Food,False,2022-08-02 09:48:05.250000+00:00
